solver,seed,instance,V,E,best_lb,best_ub,gap,status
dual-deep,2,T1_500_2000_8.wclq,500,2000,1493,2128,0.425318,OK
dual-deep,2,T1_500_5000_4.wclq,500,5000,524,1055,1.013359,OK
dual-deep,2,T1_500_500_0.wclq,500,500,5152,5476,0.062888,OK
dual-deep,2,T1_500_500_6.wclq,500,500,5153,5320,0.032408,OK
dual-deep,2,T1_50_1000_2.wclq,50,1000,21,41,0.952381,OK
dual-deep,2,T1_50_1000_8.wclq,50,1000,26,46,0.769231,OK
dual-deep,2,T1_50_100_4.wclq,50,100,315,356,0.130159,OK
dual-deep,2,T1_50_250_0.wclq,50,250,130,181,0.392308,OK
dual-deep,2,T1_50_250_6.wclq,50,250,118,163,0.381356,OK
dual-deep,2,T1_50_500_2.wclq,50,500,56,86,0.535714,OK
dual-deep,2,T1_50_500_8.wclq,50,500,54,96,0.777778,OK
dual-deep,2,T1_50_50_4.wclq,50,50,495,502,0.014141,OK
dual-deep,2,T1_50_750_0.wclq,50,750,38,69,0.815789,OK
dual-deep,2,T1_50_750_6.wclq,50,750,34,61,0.794118,OK
dual-deep,2,T1_800_0_2.wclq,800,799,8237,8640,0.048926,OK
dual-deep,2,T1_800_0_8.wclq,800,799,8194,8449,0.03112,OK
dual-deep,2,T1_800_10000_4.wclq,800,10000,598,1421,1.376254,OK
dual-deep,2,T1_800_1000_0.wclq,800,1000,7235,7738,0.069523,OK
dual-deep,2,T1_800_1000_6.wclq,800,1000,7313,7685,0.050868,OK
dual-deep,2,T1_800_2000_2.wclq,800,2000,4303,5088,0.182431,OK
dual-deep,2,T1_800_2000_8.wclq,800,2000,4245,4951,0.166313,OK
dual-deep,2,T1_800_5000_4.wclq,800,5000,1333,2436,0.827457,OK
deep-v10,1,T1_1000_10000_0.wclq,1000,10000,1115,2120,0.901345,OK
deep-v10,1,T1_1000_10000_6.wclq,1000,10000,1108,2127,0.919675,OK
deep-v10,1,T1_1000_1000_2.wclq,1000,1000,10318,10780,0.044776,OK
deep-v10,1,T1_1000_1000_8.wclq,1000,1000,10166,10606,0.043282,OK
deep-v10,1,T1_1000_15000_4.wclq,1000,15000,698,1518,1.174785,OK
deep-v10,1,T1_1000_20000_0.wclq,1000,20000,469,1201,1.560768,OK
deep-v10,1,T1_1000_20000_6.wclq,1000,20000,484,1218,1.516529,OK
deep-v10,1,T1_1000_5000_2.wclq,1000,5000,2648,3671,0.386329,OK
deep-v10,1,T1_1000_5000_8.wclq,1000,5000,2564,3603,0.405226,OK
deep-v10,1,T1_100_1000_4.wclq,100,1000,126,211,0.674603,OK
deep-v10,1,T1_100_100_0.wclq,100,100,1107,1136,0.026197,OK
deep-v10,1,T1_100_100_6.wclq,100,100,1049,1052,0.00286,OK
deep-v10,1,T1_100_2000_2.wclq,100,2000,47,105,1.234043,OK
deep-v10,1,T1_100_2000_8.wclq,100,2000,48,114,1.375,OK
deep-v10,1,T1_100_250_4.wclq,100,250,522,590,0.130268,OK
deep-v10,1,T1_100_500_0.wclq,100,500,280,381,0.360714,OK
deep-v10,1,T1_100_500_6.wclq,100,500,265,347,0.309434,OK
deep-v10,1,T1_100_750_2.wclq,100,750,192,242,0.260417,OK
deep-v10,1,T1_100_750_8.wclq,100,750,161,267,0.658385,OK
deep-v10,1,T1_150_1000_4.wclq,150,1000,298,433,0.45302,OK
deep-v10,1,T1_150_150_0.wclq,150,150,1602,1667,0.040574,OK
deep-v10,1,T1_150_150_6.wclq,150,150,1559,1615,0.03592,OK
deep-v10,1,T1_150_2000_2.wclq,150,2000,133,248,0.864662,OK
deep-v10,1,T1_150_2000_8.wclq,150,2000,128,258,1.015625,OK
deep-v10,1,T1_150_250_4.wclq,150,250,1128,1212,0.074468,OK
deep-v10,1,T1_150_3000_0.wclq,150,3000,79,180,1.278481,OK
deep-v10,1,T1_150_3000_6.wclq,150,3000,77,166,1.155844,OK
deep-v10,1,T1_150_500_2.wclq,150,500,633,757,0.195893,OK
deep-v10,1,T1_150_500_8.wclq,150,500,628,759,0.208599,OK
deep-v10,1,T1_150_750_4.wclq,150,750,405,549,0.355556,OK
deep-v10,1,T1_200_1000_0.wclq,200,1000,544,728,0.338235,OK
deep-v10,1,T1_200_1000_6.wclq,200,1000,534,716,0.340824,OK
deep-v10,1,T1_200_2000_2.wclq,200,2000,249,408,0.638554,OK
deep-v10,1,T1_200_2000_8.wclq,200,2000,235,416,0.770213,OK
deep-v10,1,T1_200_250_4.wclq,200,250,1839,1894,0.029908,OK
deep-v10,1,T1_200_3000_0.wclq,200,3000,146,296,1.027397,OK
deep-v10,1,T1_200_3000_6.wclq,200,3000,145,282,0.944828,OK
deep-v10,1,T1_200_500_2.wclq,200,500,1117,1280,0.145927,OK
deep-v10,1,T1_200_500_8.wclq,200,500,1078,1230,0.141002,OK
deep-v10,1,T1_200_750_4.wclq,200,750,714,897,0.256303,OK
deep-v10,1,T1_250_1000_0.wclq,250,1000,891,1109,0.244669,OK
deep-v10,1,T1_250_1000_6.wclq,250,1000,858,1057,0.231935,OK
deep-v10,1,T1_250_2000_2.wclq,250,2000,404,638,0.579208,OK
deep-v10,1,T1_250_2000_8.wclq,250,2000,366,617,0.685792,OK
deep-v10,1,T1_250_250_4.wclq,250,250,2641,2711,0.026505,OK
deep-v10,1,T1_250_3000_0.wclq,250,3000,240,428,0.783333,OK
deep-v10,1,T1_250_3000_6.wclq,250,3000,231,456,0.974026,OK
deep-v10,1,T1_250_5000_2.wclq,250,5000,124,287,1.314516,OK
deep-v10,1,T1_250_5000_8.wclq,250,5000,134,289,1.156716,OK
deep-v10,1,T1_250_500_4.wclq,250,500,1760,1930,0.096591,OK
deep-v10,1,T1_250_750_0.wclq,250,750,1178,1384,0.174873,OK
deep-v10,1,T1_250_750_6.wclq,250,750,1143,1297,0.134733,OK
