instance,V,E,first_lb,best_lb,first_ub,best_ub,gap,status,n_rounds,solver,dataset,seed,timestamp,lb_gain
UDG_100_200_1.wclq,100,598,210,210,210,210,0.0,OPT,1,deep-v6,UDG,1,20260517233820,0
UDG_500_150_3.wclq,500,7564,162,162,162,162,0.0,OPT,1,deep-v6,UDG,1,20260517233820,0
UDG_50_150_0.wclq,50,89,462,462,462,462,0.0,OPT,1,deep-v6,UDG,1,20260517233820,0
UDG_800_200_8.wclq,800,33642,39,39,39,39,0.0,OPT,1,deep-v6,UDG,1,20260517233820,0
UDG_1000_200_8.wclq,1000,52120,38,39,41,41,0.05128205128205128,OK,24,deep-v6,UDG,2,20260517234045,1
UDG_100_200_1.wclq,100,598,210,210,210,210,0.0,OPT,1,deep-v6,UDG,2,20260517234045,0
UDG_500_150_3.wclq,500,7564,162,162,162,162,0.0,OPT,1,deep-v6,UDG,2,20260517234045,0
UDG_50_150_0.wclq,50,89,462,462,462,462,0.0,OPT,1,deep-v6,UDG,2,20260517234045,0
UDG_800_200_8.wclq,800,33642,39,39,39,39,0.0,OPT,1,deep-v6,UDG,2,20260517234045,0
UDG_1000_200_8.wclq,1000,52120,38,39,41,41,0.05128205128205128,OK,25,deep-v6,UDG,3,20260517234308,1
UDG_100_200_1.wclq,100,598,210,210,210,210,0.0,OPT,1,deep-v6,UDG,3,20260517234308,0
UDG_500_150_3.wclq,500,7564,162,162,162,162,0.0,OPT,1,deep-v6,UDG,3,20260517234308,0
UDG_50_150_0.wclq,50,89,462,462,462,462,0.0,OPT,1,deep-v6,UDG,3,20260517234308,0
UDG_800_200_8.wclq,800,33642,39,39,39,39,0.0,OPT,1,deep-v6,UDG,3,20260517234308,0
UDG_1000_200_8.wclq,1000,52120,38,39,41,41,0.05128205128205128,OK,25,deep-v6,UDG,4,20260517234640,1
UDG_100_200_1.wclq,100,598,210,210,210,210,0.0,OPT,1,deep-v6,UDG,4,20260517234640,0
UDG_500_150_3.wclq,500,7564,162,162,162,162,0.0,OPT,1,deep-v6,UDG,4,20260517234640,0
UDG_50_150_0.wclq,50,89,462,462,462,462,0.0,OPT,1,deep-v6,UDG,4,20260517234640,0
UDG_800_200_8.wclq,800,33642,39,39,39,39,0.0,OPT,1,deep-v6,UDG,4,20260517234640,0
UDG_1000_200_8.wclq,1000,52120,38,39,41,41,0.05128205128205128,OK,25,deep-v6,UDG,5,20260517235013,1
UDG_100_200_1.wclq,100,598,210,210,210,210,0.0,OPT,1,deep-v6,UDG,5,20260517235013,0
UDG_500_150_3.wclq,500,7564,162,162,162,162,0.0,OPT,1,deep-v6,UDG,5,20260517235013,0
UDG_50_150_0.wclq,50,89,462,462,462,462,0.0,OPT,1,deep-v6,UDG,5,20260517235013,0
UDG_800_200_8.wclq,800,33642,39,39,39,39,0.0,OPT,1,deep-v6,UDG,5,20260517235013,0
C4000.5.clq,4000,4000268,3,3,9,9,2.0,OK,10,deep-v6,DIMACS,1,20260517223507,0
DSJC500_5.clq,500,125248,11,12,16,16,0.3333333333333333,OK,22,deep-v6,DIMACS,1,20260517223507,1
gen200_p0.9_55.clq,200,17910,5,5,6,6,0.2,OK,33,deep-v6,DIMACS,1,20260517223507,0
hamming6-2.clq,64,1824,5,5,5,5,0.0,OPT,1,deep-v6,DIMACS,1,20260517223507,0
p_hat300-2.clq,300,21928,29,29,31,31,0.06896551724137931,OK,32,deep-v6,DIMACS,1,20260517223507,0
C4000.5.clq,4000,4000268,3,3,9,9,2.0,OK,9,deep-v6,DIMACS,2,20260517223507,0
DSJC500_5.clq,500,125248,11,12,16,16,0.3333333333333333,OK,23,deep-v6,DIMACS,2,20260517223507,1
gen200_p0.9_55.clq,200,17910,5,5,6,6,0.2,OK,34,deep-v6,DIMACS,2,20260517223507,0
hamming6-2.clq,64,1824,5,5,5,5,0.0,OPT,1,deep-v6,DIMACS,2,20260517223507,0
p_hat300-2.clq,300,21928,29,29,31,31,0.06896551724137931,OK,32,deep-v6,DIMACS,2,20260517223507,0
C4000.5.clq,4000,4000268,3,3,9,9,2.0,OK,9,deep-v6,DIMACS,3,20260517223726,0
DSJC500_5.clq,500,125248,11,12,16,16,0.3333333333333333,OK,20,deep-v6,DIMACS,3,20260517223726,1
gen200_p0.9_55.clq,200,17910,5,5,6,6,0.2,OK,33,deep-v6,DIMACS,3,20260517223726,0
hamming6-2.clq,64,1824,5,5,5,5,0.0,OPT,1,deep-v6,DIMACS,3,20260517223726,0
p_hat300-2.clq,300,21928,29,29,31,31,0.06896551724137931,OK,32,deep-v6,DIMACS,3,20260517223726,0
C4000.5.clq,4000,4000268,3,3,9,9,2.0,OK,9,deep-v6,DIMACS,4,20260517223726,0
DSJC500_5.clq,500,125248,11,12,16,16,0.3333333333333333,OK,24,deep-v6,DIMACS,4,20260517223726,1
gen200_p0.9_55.clq,200,17910,5,5,6,6,0.2,OK,33,deep-v6,DIMACS,4,20260517223726,0
hamming6-2.clq,64,1824,5,5,5,5,0.0,OPT,1,deep-v6,DIMACS,4,20260517223726,0
p_hat300-2.clq,300,21928,29,29,31,31,0.06896551724137931,OK,32,deep-v6,DIMACS,4,20260517223726,0
C4000.5.clq,4000,4000268,3,3,9,9,2.0,OK,10,deep-v6,DIMACS,5,20260517224534,0
DSJC500_5.clq,500,125248,11,12,16,16,0.3333333333333333,OK,24,deep-v6,DIMACS,5,20260517224534,1
gen200_p0.9_55.clq,200,17910,5,5,6,6,0.2,OK,34,deep-v6,DIMACS,5,20260517224534,0
hamming6-2.clq,64,1824,5,5,5,5,0.0,OPT,1,deep-v6,DIMACS,5,20260517224534,0
p_hat300-2.clq,300,21928,29,29,31,31,0.06896551724137931,OK,32,deep-v6,DIMACS,5,20260517224534,0
